"species","transect","frequency","comment"
"Acacia baueri","T1",0,""
"Acacia baueri","T6",0,""
"Acacia baueri","T26",0,""
"Acacia baueri","T46",0,""
"Acacia baueri","T53",0,""
"Acacia baueri","T13",0,""
"Acacia baueri","T18",0,""
"Acacia baueri","T33",0,""
"Acacia baueri","T27",0,""
"Acacia baueri","T12",0,""
"Acacia baueri","T7",0,""
"Acacia baueri","T32",0,""
"Acacia baueri","T57",0,""
"Acacia baueri","T19",0,""
"Acacia baueri","T39",0,""
"Acacia baueri","T44",0,""
"Acacia baueri","T59",0,""
"Acacia baueri","T8",0,""
"Acacia baueri","T36",0,""
"Acacia baueri","T40",0,""
"Acacia baueri","T10",0,""
"Acacia baueri","T43",0,""
"Acacia baueri","T20",0,""
"Acacia baueri","T45",0,""
"Acacia baueri","T14",0,""
"Acacia baueri","T4",0,""
"Acacia baueri","T37",0,""
"Acacia baueri","T9",0,""
"Acacia baueri","T21",0,""
"Acacia baueri","T11",0,""
"Acacia baueri","T31",0,""
"Acacia baueri","T16",0,""
"Acacia baueri","T28",0,""
"Acacia baueri","T3",0,""
"Acacia baueri","T5",0,""
"Acacia baueri","T15",0,""
"Acacia baueri","T47",0,""
"Acacia baueri","T50",0,""
"Acacia baueri","T17",0,""
"Acacia baueri","T34",0,""
"Acacia baueri","T42",0,""
"Acacia baueri","T24",0,""
"Acacia baueri","T49",0,""
"Acacia baueri","T41",0,""
"Acacia baueri","T23",0,""
"Acacia baueri","T25",0,""
"Acacia baueri","T2",0,""
"Acacia baueri","T38",0,""
"Acacia baueri","T22",0,""
"Acacia baueri","T60",0,""
"Acacia baueri","T29",0,""
"Acacia baueri","T48",2,""
"Acacia baueri","T30",0,""
"Acacia baueri","T35",0,""
"Acacia myrtifolia","T31",0,""
"Acacia myrtifolia","T37",0,""
"Acacia myrtifolia","T36",0,""
"Acacia myrtifolia","T34",0,""
"Acacia myrtifolia","T6",1,""
"Acacia myrtifolia","T35",0,""
"Acacia myrtifolia","T26",0,""
"Acacia myrtifolia","T48",0,""
"Acacia myrtifolia","T43",0,""
"Acacia myrtifolia","T11",0,""
"Acacia myrtifolia","T44",0,""
"Acacia myrtifolia","T47",0,""
"Acacia myrtifolia","T40",0,""
"Acacia myrtifolia","T22",0,""
"Acacia myrtifolia","T28",0,""
"Acacia myrtifolia","T42",0,""
"Acacia myrtifolia","T9",0,""
"Acacia myrtifolia","T29",0,""
"Acacia myrtifolia","T60",0,""
"Acacia myrtifolia","T16",0,""
"Acacia myrtifolia","T41",0,""
"Acacia myrtifolia","T59",0,""
"Acacia myrtifolia","T1",0,""
"Acacia myrtifolia","T50",0,""
"Acacia myrtifolia","T30",0,""
"Acacia myrtifolia","T32",0,""
"Acacia myrtifolia","T17",0,""
"Acacia myrtifolia","T27",0,""
"Acacia myrtifolia","T39",0,""
"Acacia myrtifolia","T24",0,""
"Acacia myrtifolia","T46",0,""
"Acacia myrtifolia","T53",0,""
"Acacia myrtifolia","T20",0,""
"Acacia myrtifolia","T33",0,""
"Acacia myrtifolia","T21",0,""
"Acacia myrtifolia","T23",0,""
"Acacia myrtifolia","T2",1,""
"Acacia myrtifolia","T25",0,""
"Acacia myrtifolia","T15",0,""
"Acacia myrtifolia","T7",0,""
"Acacia myrtifolia","T14",0,""
"Acacia myrtifolia","T49",0,""
"Acacia myrtifolia","T19",0,""
"Acacia myrtifolia","T4",0,""
"Acacia myrtifolia","T38",0,""
"Acacia myrtifolia","T3",0,""
"Acacia myrtifolia","T45",0,""
"Acacia myrtifolia","T18",0,""
"Acacia myrtifolia","T57",0,""
"Acacia myrtifolia","T12",0,""
"Acacia myrtifolia","T10",0,""
"Acacia myrtifolia","T5",0,""
"Acacia myrtifolia","T13",0,""
"Acacia myrtifolia","T8",0,""
"Acacia rubida","T31",0,""
"Acacia rubida","T37",0,""
"Acacia rubida","T9",0,""
"Acacia rubida","T36",0,""
"Acacia rubida","T44",0,""
"Acacia rubida","T42",0,""
"Acacia rubida","T12",0,""
"Acacia rubida","T34",0,""
"Acacia rubida","T11",0,""
"Acacia rubida","T26",0,""
"Acacia rubida","T29",0,""
"Acacia rubida","T25",0,""
"Acacia rubida","T30",0,""
"Acacia rubida","T10",0,""
"Acacia rubida","T22",0,""
"Acacia rubida","T60",0,""
"Acacia rubida","T2",0,""
"Acacia rubida","T46",0,""
"Acacia rubida","T27",0,""
"Acacia rubida","T14",0,""
"Acacia rubida","T41",0,""
"Acacia rubida","T48",0,""
"Acacia rubida","T59",0,""
"Acacia rubida","T43",0,""
"Acacia rubida","T35",0,""
"Acacia rubida","T23",2,""
"Acacia rubida","T47",0,""
"Acacia rubida","T40",0,""
"Acacia rubida","T17",0,""
"Acacia rubida","T39",0,""
"Acacia rubida","T24",0,""
"Acacia rubida","T4",0,""
"Acacia rubida","T16",1,""
"Acacia rubida","T21",0,""
"Acacia rubida","T6",0,""
"Acacia rubida","T33",0,""
"Acacia rubida","T32",0,""
